Name,Median_Household_Income,Poverty_Rate,Unemployment_Rate,Population_Density,Median_Age,Average_Age,Minority_Percentage,Female_Percentage
"Autauga County, Alabama",0.3908128948502297,0.13064516129032258,0.08038585209003216,0.00601541596303873,0.3747368421052632,0.006768289837942082,0.01948051948051948,0.745874587458746
"Baldwin County, Alabama",0.41978769718030073,0.11774193548387096,0.10289389067524116,0.02435958138423614,0.4694736842105263,0.02484913994214439,0.032467532467532464,0.7293729372937295
"Barbour County, Alabama",0.24783584302797315,0.2854838709677419,0.1832797427652733,0.002509452586181074,0.40631578947368424,0.0025180604373386418,0.04437229437229437,0.6237623762376238
"Bibb County, Alabama",0.2865864235872126,0.25806451612903225,0.3215434083601286,0.0022449416212623357,0.4189473684210525,0.0021666692587638805,0.017316017316017316,0.580858085808581
"Blount County, Alabama",0.3418780461873346,0.16612903225806452,0.1864951768488746,0.006016126741063464,0.41052631578947363,0.006676918411148092,0.09956709956709955,0.6765676567656767
"Bullock County, Alabama",0.20549278987392772,0.31451612903225806,0.18971061093247588,0.0010269727060223104,0.39999999999999997,0.0010230683691561167,0.03463203463203463,0.5379537953795379
"Butler County, Alabama",0.25114293228580864,0.29838709677419356,0.21864951768488744,0.0019052912651574684,0.4378947368421053,0.002050510902360882,0.014069264069264068,0.8250825082508252
"Calhoun County, Alabama",0.3123884347003755,0.20161290322580644,0.2057877813504823,0.011788558159361104,0.37052631578947365,0.012067346573765902,0.032467532467532464,0.7491749174917494
"Chambers County, Alabama",0.27584258031302633,0.19838709677419356,0.1607717041800643,0.003493677071001546,0.42315789473684207,0.0034706561634887554,0.018398268398268396,0.8019801980198019
"Cherokee County, Alabama",0.2840907183266464,0.2032258064516129,0.10932475884244372,0.0025568716344025904,0.5473684210526315,0.0023071285265482597,0.01515151515151515,0.7161716171617163
"Chilton County, Alabama",0.34622594526235684,0.16451612903225804,0.17363344051446947,0.004615690952902528,0.38105263157894737,0.00532967588416436,0.09199134199134198,0.7293729372937295
